"STATISTIC","Statistic Label","TLIST(A1)","Year","C02935V03550","Airports in Ireland","C02191V04000","Country","C02354V02832","Direction","C02936V03551","Flight Type","UNIT","VALUE"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","MT","Malta","4","Departure","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","NL","Netherlands","-","All directions","-","All flights","Thousand","432.8"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","NL","Netherlands","-","All directions","1","Scheduled","Thousand","432.4"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","NL","Netherlands","-","All directions","2","Unscheduled","Thousand","0.3"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","NL","Netherlands","3","Arrival","-","All flights","Thousand","216.2"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","NL","Netherlands","3","Arrival","1","Scheduled","Thousand","215.9"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","NL","Netherlands","3","Arrival","2","Unscheduled","Thousand","0.3"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","NL","Netherlands","4","Departure","-","All flights","Thousand","216.5"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","NL","Netherlands","4","Departure","1","Scheduled","Thousand","216.5"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","NL","Netherlands","4","Departure","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","PL","Poland","-","All directions","-","All flights","Thousand","414.7"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","PL","Poland","-","All directions","1","Scheduled","Thousand","409.6"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","PL","Poland","-","All directions","2","Unscheduled","Thousand","5.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","PL","Poland","3","Arrival","-","All flights","Thousand","207.4"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","PL","Poland","3","Arrival","1","Scheduled","Thousand","205.9"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","PL","Poland","3","Arrival","2","Unscheduled","Thousand","1.5"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","PL","Poland","4","Departure","-","All flights","Thousand","207.3"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","PL","Poland","4","Departure","1","Scheduled","Thousand","203.7"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","PL","Poland","4","Departure","2","Unscheduled","Thousand","3.5"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","PT","Portugal","-","All directions","-","All flights","Thousand","236.3"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","PT","Portugal","-","All directions","1","Scheduled","Thousand","236.2"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","PT","Portugal","-","All directions","2","Unscheduled","Thousand","0.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","PT","Portugal","3","Arrival","-","All flights","Thousand","120.7"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","PT","Portugal","3","Arrival","1","Scheduled","Thousand","120.6"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","PT","Portugal","3","Arrival","2","Unscheduled","Thousand","0.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","PT","Portugal","4","Departure","-","All flights","Thousand","115.6"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","PT","Portugal","4","Departure","1","Scheduled","Thousand","115.5"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","PT","Portugal","4","Departure","2","Unscheduled","Thousand","0.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","RO","Romania","-","All directions","-","All flights","Thousand","108.6"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","RO","Romania","-","All directions","1","Scheduled","Thousand","107.9"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","RO","Romania","-","All directions","2","Unscheduled","Thousand","0.7"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","RO","Romania","3","Arrival","-","All flights","Thousand","53.7"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","RO","Romania","3","Arrival","1","Scheduled","Thousand","53.6"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","RO","Romania","3","Arrival","2","Unscheduled","Thousand","0"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","RO","Romania","4","Departure","-","All flights","Thousand","55"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","RO","Romania","4","Departure","1","Scheduled","Thousand","54.3"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","RO","Romania","4","Departure","2","Unscheduled","Thousand","0.7"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","SK","Slovakia","-","All directions","-","All flights","Thousand","36.6"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","SK","Slovakia","-","All directions","1","Scheduled","Thousand","36.3"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","SK","Slovakia","-","All directions","2","Unscheduled","Thousand","0.4"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","SK","Slovakia","3","Arrival","-","All flights","Thousand","18.6"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","SK","Slovakia","3","Arrival","1","Scheduled","Thousand","18.5"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","SK","Slovakia","3","Arrival","2","Unscheduled","Thousand","0.1"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","SK","Slovakia","4","Departure","-","All flights","Thousand","18"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","SK","Slovakia","4","Departure","1","Scheduled","Thousand","17.8"
"TAA06C01","Passengers","2020","2020","EI0M","All main airports","SK","Slovakia","4","Departure","2","Unscheduled","Thousand","0.2"
